tabela,periodicidade,unidade_tipo,codigo,descricao,nivel,periodo,valor
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,1997,159012.37514721998
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,1998,183516.204217834
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,1999,209383.5307711301
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,2000,235051.9264603559
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,2001,270441.181138346
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,2002,320056.45485952095
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,2003,356131.53487670014
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,2004,418993.2891569934
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,2005,487822.08090402954
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,2006,542810.005410329
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,2007,618352.1084603929
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,2008,715615.8952906401
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,2009,738124.9459499798
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,2010,918531.3694962286
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,2011,988270.07665692
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,2012,1072289.4194307346
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,2013,1178983.23858507
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,2014,1221474.13234092
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,2015,1249103.68621406
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,2016,1315985.2686316364
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,2017,1383653.146881649
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,2018,1488999.2062827144
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,2019,1635607.86223003
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,2020,1468096.1372304999
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,2021,1932649.6796227393
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,2022,2313305.42584203
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,2023,2353432.2430285
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,2024,2679441.60626551
2.2,anual,corrente,1,RECEITA TOTAL 1/,1,2025,2902274.5640645996
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,1997,101710.99134000001
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,1998,111752.412363
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,1999,134315.24228339997
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,2000,156187.723345
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,2001,179218.17344314948
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,2002,219900.79490799998
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,2003,242869.35892299996
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,2004,286807.667223
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,2005,333069.63118063996
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,2006,359189.16918996006
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,2007,417509.43861415
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,2008,466337.04441949003
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,2009,456139.3312590299
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,2010,531205.991596
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,2011,628894.93289579
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,2012,647535.05609337
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,2013,720193.3676892
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,2014,739178.0048503602
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,2015,765137.1798145701
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,2016,819751.85484766
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,2017,835563.53550946
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,2018,905052.42457351
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,2019,946082.8637966599
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,2020,899522.5079037499
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,2021,1195712.30130914
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,2022,1390000.44825626
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,2023,1439302.59864158
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,2024,1690020.4045533903
2.2,anual,corrente,1.1,-  Receita Administrada pela RFB,2,2025,1859843.9075971898
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,1997,5135.256259
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,1998,6530.952877
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,1999,7861.04880414
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,2000,8497.976205
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,2001,9079.028762000002
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,2002,7956.566514
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,2003,8134.749651
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,2004,9195.22296
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,2005,9019.946378069999
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,2006,9978.31674298
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,2007,12216.324714800001
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,2008,17171.27425229
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,2009,15967.9047799
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,2010,21093.346541
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,2011,26680.65729114
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,2012,31067.553560219996
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,2013,37138.714750600004
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,2014,36563.27696015
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,2015,38942.28003581
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,2016,31390.477725079996
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,2017,32426.4895769
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,2018,40678.35279421
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,2019,43035.29653404
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,2020,45743.696486999994
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,2021,61970.274861629994
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,2022,59078.702113290004
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,2023,54221.9966958
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,2024,77749.32054684001
2.2,anual,corrente,1.1.01,Imposto sobre a Importação,3,2025,90395.23605360999
2.2,anual,corrente,1.1.02,IPI,3,1997,16552.739062
2.2,anual,corrente,1.1.02,IPI,3,1998,15824.030666
2.2,anual,corrente,1.1.02,IPI,3,1999,16084.6880461
2.2,anual,corrente,1.1.02,IPI,3,2000,17700.491536999998
2.2,anual,corrente,1.1.02,IPI,3,2001,18939.45091
2.2,anual,corrente,1.1.02,IPI,3,2002,18622.865379
2.2,anual,corrente,1.1.02,IPI,3,2003,17874.787781
2.2,anual,corrente,1.1.02,IPI,3,2004,21294.33507
2.2,anual,corrente,1.1.02,IPI,3,2005,24451.57242752
2.2,anual,corrente,1.1.02,IPI,3,2006,27385.116525669997
2.2,anual,corrente,1.1.02,IPI,3,2007,31875.67389319
2.2,anual,corrente,1.1.02,IPI,3,2008,37361.12416486001
2.2,anual,corrente,1.1.02,IPI,3,2009,28086.368623339997
2.2,anual,corrente,1.1.02,IPI,3,2010,37553.81540199999
2.2,anual,corrente,1.1.02,IPI,3,2011,41471.406301580006
2.2,anual,corrente,1.1.02,IPI,3,2012,44480.205970170005
2.2,anual,corrente,1.1.02,IPI,3,2013,44077.37423477
2.2,anual,corrente,1.1.02,IPI,3,2014,50146.207356390005
2.2,anual,corrente,1.1.02,IPI,3,2015,48586.32245439
2.2,anual,corrente,1.1.02,IPI,3,2016,42293.98847793
2.2,anual,corrente,1.1.02,IPI,3,2017,48032.50307579
2.2,anual,corrente,1.1.02,IPI,3,2018,55427.3229957
2.2,anual,corrente,1.1.02,IPI,3,2019,52685.94749463002
2.2,anual,corrente,1.1.02,IPI,3,2020,56694.55364529
2.2,anual,corrente,1.1.02,IPI,3,2021,71286.10705468999
2.2,anual,corrente,1.1.02,IPI,3,2022,59893.53837295
2.2,anual,corrente,1.1.02,IPI,3,2023,59326.696669289995
2.2,anual,corrente,1.1.02,IPI,3,2024,84373.24293272
2.2,anual,corrente,1.1.02,IPI,3,2025,88363.57696765
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,1997,2839.2624061999995
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,1998,2535.2212004999997
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,1999,2280.4184088300008
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,2000,1997.8234370000002
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,2001,2006.8023550000003
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,2002,1923.373355
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,2003,1993.533734
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,2004,2304.2954999999997
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,2005,2302.771942
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,2006,2396.3533600200003
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,2007,2803.36778592
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,2008,3211.37398422
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,2009,3314.07056642
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,2010,3705.426926
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,2011,3745.716442
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,2012,4079.2769221000003
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,2013,5098.50402748
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,2014,5654.14047068
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,2015,5681.67272841
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,2016,5718.45378186
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,2017,5209.7981624700005
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,2018,5207.86093497
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,2019,5558.939451029999
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,2020,5974.963487970001
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,2021,5576.673041690001
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,2022,6732.041291760001
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,2023,3824.4612462500004
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,2024,8160.530268929999
2.2,anual,corrente,1.1.02.1,IPI - Fumo,4,2025,11235.315910750001
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,1997,0
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,1998,0
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,1999,0
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,2000,1941.9829710000004
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,2001,2001.5398959999998
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,2002,1795.3801649999998
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,2003,1899.5308229999998
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,2004,1998.8210860000002
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,2005,2357.586387
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,2006,2626.49227555
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,2007,2588.8312324500002
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,2008,2489.31082017
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,2009,2303.9951859400003
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,2010,2430.070813
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,2011,2990.706589
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,2012,3216.6361343999993
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,2013,3438.0504197400005
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,2014,3380.1101592799996
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,2015,2594.3688342099995
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,2016,2683.89765992
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,2017,2943.8483909100005
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,2018,2767.62738553
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,2019,3640.94744924
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,2020,2985.1599256599998
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,2021,2687.4198809799996
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,2022,2513.2079107
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,2023,2954.04503959
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,2024,3341.08421967
2.2,anual,corrente,1.1.02.2,IPI - Bebidas,4,2025,3862.8106411299996
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,1997,0
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,1998,0
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,1999,0
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,2000,2374.8062010000003
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,2001,2594.6402379999995
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,2002,2663.93237
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,2003,2313.574755
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,2004,2964.065613
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,2005,3741.304609
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,2006,4303.99654322
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,2007,5228.54400756
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,2008,6031.54784493
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,2009,2097.2710191499996
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,2010,5786.343543999999
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,2011,7146.786230999999
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,2012,4379.90629765
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,2013,3776.7954432799997
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,2014,4910.72700097
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,2015,4358.524007080001
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,2016,3298.6588972
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,2017,4466.90541801
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,2018,5713.3330344
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,2019,5639.3938891
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,2020,3446.16743364
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,2021,3446.6947837899997
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,2022,4048.1887598499998
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,2023,6918.35967825
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,2024,8623.15721633
2.2,anual,corrente,1.1.02.3,IPI - Automóveis,4,2025,6560.10230195
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,1997,0
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,1998,0
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,1999,0
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,2000,4839.727736999999
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,2001,4752.437404
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,2002,4883.202151
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,2003,4562.442812
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,2004,5174.458811
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,2005,5278.02480509
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,2006,6150.28237444
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,2007,7692.363964459998
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,2008,10351.066533840003
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,2009,8384.33133444
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,2010,11258.886941
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,2011,13716.597709
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,2012,15929.680857119998
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,2013,14624.07725192
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,2014,15079.0929322
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,2015,16802.39388622
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,2016,13451.633804359999
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,2017,13996.58690089
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,2018,18000.70749925
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,2019,19110.255033139998
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,2020,21941.95742991
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,2021,31693.28280778
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,2022,24521.241590769998
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,2023,22608.4326753
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,2024,29621.1670744
2.2,anual,corrente,1.1.02.4,IPI - Vinculado à importação,4,2025,32532.279724010004
2.2,anual,corrente,1.1.02.5,IPI - Outros,4,1997,13713.4766558
2.2,anual,corrente,1.1.02.5,IPI - Outros,4,1998,13288.8094655
2.2,anual,corrente,1.1.02.5,IPI - Outros,4,1999,13804.269637270001
2.2,anual,corrente,1.1.02.5,IPI - Outros,4,2000,6546.151190999999
2.2,anual,corrente,1.1.02.5,IPI - Outros,4,2001,7584.031017
2.2,anual,corrente,1.1.02.5,IPI - Outros,4,2002,7356.977338
2.2,anual,corrente,1.1.02.5,IPI - Outros,4,2003,7105.705656999999
2.2,anual,corrente,1.1.02.5,IPI - Outros,4,2004,8852.694060000002
